[23:40:04.685] [INFO   ] thread main starting.
[23:40:04.725] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:40:18.577] [SEVERE ] updating countdown to 49522
[23:40:18.685] [SEVERE ] updating countdown to 49414
[23:40:18.795] [SEVERE ] updating countdown to 49304
[23:40:18.903] [SEVERE ] updating countdown to 49196
[23:40:19.012] [SEVERE ] updating countdown to 49087
[23:40:19.121] [SEVERE ] updating countdown to 48978
[23:40:19.231] [SEVERE ] updating countdown to 48868
[23:40:19.340] [SEVERE ] updating countdown to 48759
[23:40:19.449] [SEVERE ] updating countdown to 48650
[23:40:19.557] [SEVERE ] updating countdown to 48542
[23:40:19.667] [SEVERE ] updating countdown to 48432
[23:40:19.778] [SEVERE ] updating countdown to 48321
[23:40:19.888] [SEVERE ] updating countdown to 48211
[23:40:19.996] [SEVERE ] updating countdown to 48103
[23:40:20.106] [SEVERE ] updating countdown to 47993
[23:40:20.217] [SEVERE ] updating countdown to 47883
[23:40:20.324] [SEVERE ] updating countdown to 47775
[23:40:20.432] [SEVERE ] updating countdown to 47667
[23:40:20.542] [SEVERE ] updating countdown to 47557
[23:40:20.653] [SEVERE ] updating countdown to 47446
[23:40:20.764] [SEVERE ] updating countdown to 47335
[23:40:20.875] [SEVERE ] updating countdown to 47224
[23:40:20.985] [SEVERE ] updating countdown to 47114
[23:40:21.095] [SEVERE ] updating countdown to 47004
[23:40:21.204] [SEVERE ] updating countdown to 46895
[23:40:21.312] [SEVERE ] updating countdown to 46787
[23:40:21.422] [SEVERE ] updating countdown to 46677
[23:40:21.532] [SEVERE ] updating countdown to 46567
[23:40:21.641] [SEVERE ] updating countdown to 46458
[23:40:21.750] [SEVERE ] updating countdown to 46349
[23:40:21.860] [SEVERE ] updating countdown to 46239
[23:40:21.971] [SEVERE ] updating countdown to 46128
[23:40:22.079] [SEVERE ] updating countdown to 46020
[23:40:22.189] [SEVERE ] updating countdown to 45910
[23:40:22.300] [SEVERE ] updating countdown to 45799
[23:40:22.409] [SEVERE ] updating countdown to 45690
[23:40:22.517] [SEVERE ] updating countdown to 45582
[23:40:22.626] [SEVERE ] updating countdown to 45473
[23:40:22.734] [SEVERE ] updating countdown to 45365
[23:40:22.843] [SEVERE ] updating countdown to 45256
[23:40:22.953] [SEVERE ] updating countdown to 45146
