[23:43:51.430] [INFO   ] thread main starting.
[23:43:51.476] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:43:51.485] [SEVERE ] configuration file was loaded from resources directory.
[23:43:53.300] [INFO   ] thread dealer starting.
[23:43:53.321] [INFO   ] thread dealer starting.
[23:43:53.324] [INFO   ] thread Player: 0 created.
[23:43:53.326] [INFO   ] thread Player: 1 created.
[23:43:53.369] [INFO   ] thread Player: 0 starting.
[23:43:53.372] [INFO   ] thread Player: 1 starting.
[23:43:53.471] [SEVERE ] placing card 38 in slot 2
[23:43:53.596] [SEVERE ] placing card 70 in slot 10
[23:43:53.707] [SEVERE ] placing card 33 in slot 5
[23:43:53.815] [SEVERE ] placing card 42 in slot 0
[23:43:53.925] [SEVERE ] placing card 77 in slot 7
[23:43:54.035] [SEVERE ] placing card 25 in slot 9
[23:43:54.144] [SEVERE ] placing card 64 in slot 11
[23:43:54.254] [SEVERE ] placing card 48 in slot 6
[23:43:54.362] [SEVERE ] placing card 60 in slot 4
[23:43:54.471] [SEVERE ] placing card 16 in slot 1
[23:43:54.580] [SEVERE ] placing card 51 in slot 3
[23:43:54.689] [SEVERE ] placing card 50 in slot 8
[23:43:54.691] [SEVERE ] updating countdown to 60000
[23:43:54.814] [SEVERE ] updating countdown to 59876
[23:43:54.924] [SEVERE ] updating countdown to 59766
[23:43:55.033] [SEVERE ] updating countdown to 59657
[23:43:55.142] [SEVERE ] updating countdown to 59548
[23:43:55.253] [SEVERE ] updating countdown to 59437
[23:43:55.365] [SEVERE ] updating countdown to 59325
[23:43:55.474] [SEVERE ] updating countdown to 59216
[23:43:55.585] [SEVERE ] updating countdown to 59105
[23:43:55.693] [SEVERE ] updating countdown to 58997
[23:43:55.803] [SEVERE ] updating countdown to 58887
[23:43:55.910] [SEVERE ] updating countdown to 58780
[23:43:56.020] [SEVERE ] updating countdown to 58670
[23:43:56.130] [SEVERE ] updating countdown to 58560
[23:43:56.238] [SEVERE ] updating countdown to 58452
[23:43:56.347] [SEVERE ] updating countdown to 58343
[23:43:56.456] [SEVERE ] updating countdown to 58234
[23:43:56.563] [SEVERE ] updating countdown to 58127
[23:43:56.671] [SEVERE ] updating countdown to 58019
[23:43:56.780] [SEVERE ] updating countdown to 57910
[23:43:56.887] [SEVERE ] updating countdown to 57803
[23:43:56.996] [SEVERE ] updating countdown to 57694
[23:43:57.105] [SEVERE ] updating countdown to 57585
[23:43:57.214] [SEVERE ] updating countdown to 57476
[23:43:57.322] [SEVERE ] updating countdown to 57368
[23:43:57.430] [SEVERE ] updating countdown to 57260
[23:43:57.537] [SEVERE ] updating countdown to 57153
[23:43:57.646] [SEVERE ] updating countdown to 57044
[23:43:57.754] [SEVERE ] updating countdown to 56936
[23:43:57.862] [SEVERE ] updating countdown to 56828
[23:43:57.969] [SEVERE ] updating countdown to 56721
[23:43:58.080] [SEVERE ] updating countdown to 56610
[23:43:58.190] [SEVERE ] updating countdown to 56500
[23:43:58.300] [SEVERE ] updating countdown to 56390
[23:43:58.409] [SEVERE ] updating countdown to 56281
[23:43:58.517] [SEVERE ] updating countdown to 56173
[23:43:58.626] [SEVERE ] updating countdown to 56064
[23:43:58.734] [SEVERE ] updating countdown to 55956
[23:43:58.846] [SEVERE ] updating countdown to 55844
[23:43:58.956] [SEVERE ] updating countdown to 55734
[23:43:59.064] [SEVERE ] updating countdown to 55626
[23:43:59.173] [SEVERE ] updating countdown to 55517
[23:43:59.285] [SEVERE ] updating countdown to 55405
[23:43:59.397] [SEVERE ] updating countdown to 55293
[23:43:59.508] [SEVERE ] updating countdown to 55182
[23:43:59.617] [SEVERE ] updating countdown to 55073
[23:43:59.729] [SEVERE ] updating countdown to 54961
[23:43:59.840] [SEVERE ] updating countdown to 54850
[23:43:59.949] [SEVERE ] updating countdown to 54741
[23:44:00.058] [SEVERE ] updating countdown to 54632
[23:44:00.168] [SEVERE ] updating countdown to 54522
[23:44:00.276] [SEVERE ] updating countdown to 54414
[23:44:00.384] [SEVERE ] updating countdown to 54306
[23:44:00.494] [SEVERE ] updating countdown to 54196
[23:44:00.603] [SEVERE ] updating countdown to 54087
[23:44:00.713] [SEVERE ] updating countdown to 53977
[23:44:00.823] [SEVERE ] updating countdown to 53867
[23:44:00.931] [SEVERE ] updating countdown to 53759
[23:44:01.040] [SEVERE ] updating countdown to 53650
[23:44:01.148] [SEVERE ] updating countdown to 53542
[23:44:01.258] [SEVERE ] updating countdown to 53432
[23:44:01.366] [SEVERE ] updating countdown to 53324
[23:44:01.473] [SEVERE ] updating countdown to 53217
[23:44:01.579] [SEVERE ] updating countdown to 53111
[23:44:01.684] [SEVERE ] updating countdown to 53006
[23:44:01.795] [SEVERE ] updating countdown to 52895
[23:44:01.904] [SEVERE ] updating countdown to 52786
[23:44:02.013] [SEVERE ] updating countdown to 52677
[23:44:02.122] [SEVERE ] updating countdown to 52568
[23:44:02.231] [SEVERE ] updating countdown to 52459
[23:44:02.339] [SEVERE ] updating countdown to 52351
[23:44:02.448] [SEVERE ] updating countdown to 52242
[23:44:02.556] [SEVERE ] updating countdown to 52134
[23:44:02.666] [SEVERE ] updating countdown to 52024
[23:44:02.773] [SEVERE ] updating countdown to 51917
[23:44:02.882] [SEVERE ] updating countdown to 51808
[23:44:02.991] [SEVERE ] updating countdown to 51699
[23:44:03.102] [SEVERE ] updating countdown to 51588
[23:44:03.212] [SEVERE ] updating countdown to 51478
[23:44:03.322] [SEVERE ] updating countdown to 51368
[23:44:03.431] [SEVERE ] updating countdown to 51259
[23:44:03.540] [SEVERE ] updating countdown to 51150
[23:44:03.648] [SEVERE ] updating countdown to 51042
[23:44:03.757] [SEVERE ] updating countdown to 50933
[23:44:03.864] [SEVERE ] updating countdown to 50826
[23:44:03.974] [SEVERE ] updating countdown to 50716
[23:44:04.085] [SEVERE ] updating countdown to 50605
[23:44:04.195] [SEVERE ] updating countdown to 50495
[23:44:04.305] [SEVERE ] updating countdown to 50385
[23:44:04.415] [SEVERE ] updating countdown to 50275
[23:44:04.523] [SEVERE ] updating countdown to 50167
[23:44:04.630] [SEVERE ] updating countdown to 50060
[23:44:04.740] [SEVERE ] updating countdown to 49950
[23:44:04.849] [SEVERE ] updating countdown to 49841
[23:44:04.959] [SEVERE ] updating countdown to 49731
[23:44:05.066] [SEVERE ] updating countdown to 49624
[23:44:05.175] [SEVERE ] updating countdown to 49515
[23:44:05.284] [SEVERE ] updating countdown to 49406
[23:44:05.394] [SEVERE ] updating countdown to 49296
[23:44:05.504] [SEVERE ] updating countdown to 49186
[23:44:05.613] [SEVERE ] updating countdown to 49077
[23:44:05.723] [SEVERE ] updating countdown to 48967
[23:44:05.833] [SEVERE ] updating countdown to 48857
[23:44:05.943] [SEVERE ] updating countdown to 48747
[23:44:06.052] [SEVERE ] updating countdown to 48638
[23:44:06.162] [SEVERE ] updating countdown to 48528
[23:44:06.270] [SEVERE ] updating countdown to 48420
[23:44:06.379] [SEVERE ] updating countdown to 48311
[23:44:06.488] [SEVERE ] updating countdown to 48202
[23:44:06.596] [SEVERE ] updating countdown to 48094
[23:44:06.708] [SEVERE ] updating countdown to 47982
[23:44:06.816] [SEVERE ] updating countdown to 47874
